country,date,cases,deaths,new_cases,new_deaths,last_update
Nepal,2020-04-20,31,0,15,0,2020-07-01T21:43:55Z
Netherlands,2020-04-20,33588,3764,33557,3764,2020-07-01T21:43:55Z
Nicaragua,2020-04-20,10,2,-33578,-3762,2020-07-01T21:43:55Z
Niger,2020-04-20,648,20,638,18,2020-07-01T21:43:55Z
Nigeria,2020-04-20,665,22,17,2,2020-07-01T21:43:55Z
Norway,2020-04-20,7156,181,6491,159,2020-07-01T21:43:55Z
Oman,2020-04-20,1410,7,-5746,-174,2020-07-01T21:43:55Z
Pakistan,2020-04-20,9565,201,8155,194,2020-07-01T21:43:55Z
Panama,2020-04-20,4467,126,-5098,-75,2020-07-01T21:43:55Z
Paraguay,2020-04-20,208,8,-4259,-118,2020-07-01T21:43:55Z
Peru,2020-04-20,16325,445,16117,437,2020-07-01T21:43:55Z
Philippines,2020-04-20,6459,428,-9866,-17,2020-07-01T21:43:55Z
Poland,2020-04-20,9593,380,3134,-48,2020-07-01T21:43:55Z
Portugal,2020-04-20,20863,735,11270,355,2020-07-01T21:43:55Z
Qatar,2020-04-20,6015,9,-14848,-726,2020-07-01T21:43:55Z
Romania,2020-04-20,8936,478,2921,469,2020-07-01T21:43:55Z
Russia,2020-04-20,47121,405,38185,-73,2020-07-01T21:43:55Z
Rwanda,2020-04-20,147,0,-46974,-405,2020-07-01T21:43:55Z
Senegal,2020-04-20,377,5,230,5,2020-07-01T21:43:55Z
Serbia,2020-04-20,6630,125,6253,120,2020-07-01T21:43:55Z
Seychelles,2020-04-20,11,0,-6619,-125,2020-07-01T21:43:55Z
Singapore,2020-04-20,8014,11,8003,11,2020-07-01T21:43:55Z
Slovakia,2020-04-20,1173,13,-6841,2,2020-07-01T21:43:55Z
Slovenia,2020-04-20,1335,77,162,64,2020-07-01T21:43:55Z
Somalia,2020-04-20,237,8,-1098,-69,2020-07-01T21:43:55Z
Spain,2020-04-20,200210,20852,199973,20844,2020-07-01T21:43:55Z
Sudan,2020-04-20,107,12,-200103,-20840,2020-07-01T21:43:55Z
Suriname,2020-04-20,10,1,-97,-11,2020-07-01T21:43:55Z
Sweden,2020-04-20,14777,1580,14767,1579,2020-07-01T21:43:55Z
Switzerland,2020-04-20,27944,1429,13167,-151,2020-07-01T21:43:55Z
Tajikistan,2020-04-20,0,0,-27944,-1429,2020-07-01T21:43:55Z
Thailand,2020-04-20,2792,47,2792,47,2020-07-01T21:43:55Z
Timor-Leste,2020-04-20,22,0,-2770,-47,2020-07-01T21:43:55Z
Togo,2020-04-20,84,6,62,6,2020-07-01T21:43:55Z
Tunisia,2020-04-20,884,38,800,32,2020-07-01T21:43:55Z
Turkey,2020-04-20,90980,2140,90096,2102,2020-07-01T21:43:55Z
Uganda,2020-04-20,56,0,-90924,-2140,2020-07-01T21:43:55Z
Ukraine,2020-04-20,5710,151,5654,151,2020-07-01T21:43:55Z
Uruguay,2020-04-20,535,10,-5175,-141,2020-07-01T21:43:55Z
Uzbekistan,2020-04-20,1627,5,1092,-5,2020-07-01T21:43:55Z
Venezuela,2020-04-20,256,9,-1371,4,2020-07-01T21:43:55Z
Vietnam,2020-04-20,268,0,12,-9,2020-07-01T21:43:55Z
Yemen,2020-04-20,1,0,-267,0,2020-07-01T21:43:55Z
Zambia,2020-04-20,65,3,64,3,2020-07-01T21:43:55Z
Zimbabwe,2020-04-20,25,3,-40,0,2020-07-01T21:43:55Z
Afghanistan,2020-04-21,1092,36,1067,33,2020-07-01T21:43:55Z
Albania,2020-04-21,609,26,-483,-10,2020-07-01T21:43:55Z
Algeria,2020-04-21,2811,392,2202,366,2020-07-01T21:43:55Z
Andorra,2020-04-21,717,37,-2094,-355,2020-07-01T21:43:55Z
Angola,2020-04-21,24,2,-693,-35,2020-07-01T21:43:55Z
Argentina,2020-04-21,3031,147,3007,145,2020-07-01T21:43:55Z
Armenia,2020-04-21,1401,24,-1630,-123,2020-07-01T21:43:55Z
Australia,2020-04-21,6645,67,5244,43,2020-07-01T21:43:55Z
Austria,2020-04-21,14873,491,8228,424,2020-07-01T21:43:55Z
Azerbaijan,2020-04-21,1480,20,-13393,-471,2020-07-01T21:43:55Z
Bahamas,2020-04-21,65,9,-1415,-11,2020-07-01T21:43:55Z
Bahrain,2020-04-21,1973,7,1908,-2,2020-07-01T21:43:55Z
Bangladesh,2020-04-21,3382,110,1409,103,2020-07-01T21:43:55Z
Barbados,2020-04-21,75,5,-3307,-105,2020-07-01T21:43:55Z
Belarus,2020-04-21,6723,55,6648,50,2020-07-01T21:43:55Z
Belgium,2020-04-21,40956,5998,34233,5943,2020-07-01T21:43:55Z
Belize,2020-04-21,18,2,-40938,-5996,2020-07-01T21:43:55Z
Benin,2020-04-21,54,1,36,-1,2020-07-01T21:43:55Z
Bhutan,2020-04-21,6,0,-48,-1,2020-07-01T21:43:55Z
Bolivia,2020-04-21,598,34,592,34,2020-07-01T21:43:55Z
Botswana,2020-04-21,20,1,-578,-33,2020-07-01T21:43:55Z
Brazil,2020-04-21,43079,2741,43059,2740,2020-07-01T21:43:55Z
Brunei,2020-04-21,138,1,-42941,-2740,2020-07-01T21:43:55Z
Bulgaria,2020-04-21,975,45,837,44,2020-07-01T21:43:55Z
Burma,2020-04-21,121,5,-854,-40,2020-07-01T21:43:55Z
